,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed,simple_dist_outlier
2023-06-09 19:13:57.502269952,-8.527017975,1.671873322,-0.6282435608,-0.2837434113,-2.406123877,-0.8531538844,0,0,1,0,-52.40534973,30.68527603,-18.88102913,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:57.752269952,7.625592499,-0.5403762817,-0.1306782532,0.8320217507000001,-0.7079253195,3.3229138255,0,0,1,0,-24.602394105,47.48876381,-26.058894155,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:58.002269952,14.84537888,-12.22238342,1.384770355,0.2352937907,-5.271306515,-2.302625418,0,0,1,0,-22.97157288,47.75273895,-29.0333252,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:58.252269952,0.47002258325,-10.427465973,0.7710466001999999,-2.524803638,0.130438298,-3.760929108,0,0,1,0,-47.55194092,36.85673523,-16.90701294,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:58.502269952,7.782765656,-7.667954407,-0.5138813782,0.1391111314,2.814015627,1.822389007,0,0,1,0,-44.73339844,38.81939697,-18.2984848,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:58.752269952,10.63762894,-13.99873947,1.177601166,0.1384871006,-1.0316784009,0.4725750684999998,0,0,1,0,-20.566841125,48.99394989,-26.556679725,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:59.002269952,6.0091788485,-10.042915649,-1.44472068765,-1.497343898,1.749780297,-5.338955879,0,0,1,0,-38.70475769,43.34698486,-21.72403908,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:59.252269952,8.921298065,-11.12396759,-0.4881349182,0.2108804733,2.407379866,1.551483393,0,0,1,0,-52.57337952,30.70403671,-13.99608612,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:59.502269952,6.35937561,-9.132658539,0.9586065674,0.5037804842,-1.096275568,2.747110128,0,0,1,0,-27.26330566,47.51683807,-24.44857979,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:59.752269952,10.8186026,-5.941295013,-8.642727356,-0.5917332175000001,1.18028105815,-0.2983202935,0,0,1,0,-22.927581785,49.50997162,-23.41880989,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:14:00.002269952,5.25893898,-5.253101119999999,1.15911460865,-0.0512429215,-1.926201105,-0.4154959321,0,0,1,0,-49.21481323,32.21298218,-13.86991882,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:14:00.252269952,5.312752075,-7.995323639,0.2091151428,0.6570125818,0.144454062,3.109959841,0,0,1,0,-35.97923279,41.61935043,-23.72990417,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:14:00.502269952,15.24774216,-9.291029205,-0.03981719971,1.445995212,-1.39925468,1.64002347,0,0,1,0,-21.28924561,49.67943192,-25.1927948,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:14:00.752269952,3.955674133,-13.73768234,-3.29150528,-0.58760738375,-1.64792531745,-2.720813215,0,0,1,0,-31.32854462,45.32387924,-23.63450336,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:14:01.002269952,7.228917389,-9.896071013,-0.0737216951499999,0.1480998993,2.854569912,2.044563293,0,0,1,0,-44.39425659,37.29999542,-18.94185257,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:14:01.252269952,6.447991333,-13.04477325,-1.438807983,1.423896432,-2.139766932,2.044543028,0,0,1,0,-23.57331848,50.57574844,-23.16263962,52.33447776829667,4.891991603794989,-0.011739427005407843,False
